Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
149,35.00,0,1,0,10.3579759,1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,0,,
150,50.00,1,1,1,1.064740675,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,45.72,96
151,37.00,0,1,1,7.633865745,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,6.24,95
152,60.00,0,1,1,1.550847527,1,0,0,0,1,0,0,2,1,1,1,1,0,0,1,1,0,0,0,41.04,98
153,30.00,0,1,1,12.34855984,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,8.64,96
154,20.00,1,2,1,4.06975153,0,0,1,0,0,1,0,4,1,1,1,1,0,0,0,1,0,0,0,14.4,94
155,26.00,0,1,0,9.335505374,0,0,1,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,0,24,96
156,38.00,0,1,0,4.963134789,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3.84,100
157,75.00,0,1,1,0.769321063,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,1.08,100
158,89.00,1,1,1,5.705267594,0,0,1,0,1,0,0,5,1,2,1,1,1,1,0,1,0,0,0,36.48,97
159,117.00,0,19,0,0.725791325,1,0,0,0,1,0,0,4,2.5,2,1,1,0,0,1,1,0,0,0,24.6,98
160,140.00,0,19,1,7.903090013,1,0,0,0,1,0,0,5,2,2,1,1,0,0,0,1,0,0,0,,
161,27.00,1,3,0,5.496602323,0,0,1,0,0,1,0,4,1,1,1,1,1,0,0,1,0,0,0,5.76,92
162,100.00,0,2,1,1.095154803,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,9.36,96
163,25.00,1,3,0,5.409960778,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,10.44,94
164,39.00,0,1,1,5.491295741,1,0,0,0,0,1,0,2,1,1,1,1,0,1,0,1,0,0,0,1.8,97
165,24.00,0,1,1,3.651875379,1,0,0,0,0,1,0,1,2,1,0,1,0,0,0,1,0,0,0,4.2,97
166,20.00,0,1,1,7.281667621,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,24.48,97
167,87.00,0,19,0,0.787037942,1,0,0,0,1,0,0,4,1,2,1,1,0,0,1,1,0,0,0,53.4,98
